Key: ' ', Freq: 0.16263918598916144"
Key: 'e', Freq: 0.06354838208205084"
Key: 't', Freq: 0.05176252568440756"
Key: 'a', Freq: 0.04256377172776248"
Key: 'i', Freq: 0.038179343270120764"
Key: 'r', Freq: 0.03729990728575694"
Key: 's', Freq: 0.03712899363523057"
Key: 'n', Freq: 0.03699390748959866"
Key: 'o', Freq: 0.03451593710232473"
Key: 'l', Freq: 0.027101113194612662"
Key: '\n', Freq: 0.024483768502820587"
Key: 'c', Freq: 0.024151079922829635"
Key: 'd', Freq: 0.023192822053820752"
Key: 'p', Freq: 0.019167745919982295"
Key: ',', Freq: 0.01850616287706884"
Key: '\"', Freq: 0.017887196286872905"
Key: 'u', Freq: 0.017627636643179526"
Key: 'm', Freq: 0.01696246744832253"
Key: '0', Freq: 0.015501295949356432"
Key: 'f', Freq: 0.015313181909971925"
Key: 'h', Freq: 0.014817998112142898"
Key: '.', Freq: 0.014125324892436127"
Key: 'g', Freq: 0.012316462849771984"
Key: '_', Freq: 0.011695042115986915"
Key: 'b', Freq: 0.011619808156030205"
Key: '1', Freq: 0.010556026433754105"
Key: ':', Freq: 0.010042225159188617"
Key: '/', Freq: 0.009673371809604083"
Key: '-', Freq: 0.00923078003189878"
Key: '(', Freq: 0.008814160738328462"
Key: ')', Freq: 0.008813839760722246"
Key: '=', Freq: 0.008775429699036847"
Key: '2', Freq: 0.008701140612061089"
Key: '\t', Freq: 0.008568155833802162"
Key: 'y', Freq: 0.008271689859204047"
Key: 'x', Freq: 0.007846234429950803"
Key: 'v', Freq: 0.00777364197054978"
Key: '>', Freq: 0.0066243022657600705"
Key: ';', Freq: 0.006455450760627869"
Key: 'w', Freq: 0.006207443097658356"
Key: '3', Freq: 0.006029529321084064"
Key: '<', Freq: 0.0056083290333450685"
Key: '4', Freq: 0.00541470441673487"
Key: '5', Freq: 0.005128663178757877"
Key: 'k', Freq: 0.004865780524927916"
Key: '6', Freq: 0.004635253122902592"
Key: '8', Freq: 0.004286857359161893"
Key: ''', Freq: 0.004259025154930129"
Key: '9', Freq: 0.004154513649742998"
Key: '*', Freq: 0.004152731376434882"
Key: '}', Freq: 0.0037992388605838593"
Key: '{', Freq: 0.003794214237027781"
Key: '7', Freq: 0.003741131498982781"
Key: 'j', Freq: 0.0027260395423288606"
Key: 'q', Freq: 0.002524568092433357"
Key: 'z', Freq: 0.002459462266732616"
Key: '\\', Freq: 0.002153240655880637"
Key: '[', Freq: 0.002102011876511797"
Key: ']', Freq: 0.0020967877083686295"
Key: '#', Freq: 0.0018803138515798336"
Key: '&', Freq: 0.0016508702614095384"
Key: '+', Freq: 0.0014671345693032137"
Key: '|', Freq: 0.0012098869172249313"
Key: '$', Freq: 0.0009165991416721545"
Key: '%', Freq: 0.0008343597374331119"
Key: '!', Freq: 0.0007881115953898816"
Key: '@', Freq: 0.0005955753332932744"
Key: '?', Freq: 0.0005506986309496501"
Key: '`', Freq: 0.000440922627675043"
Key: '^', Freq: 0.0001968078015003006"
Key: '~', Freq: 0.00008168409192894193"
